Item number;Name;Station code
216;Antonovka (OP.);157724
217;Antonovka (rzd.);417842
218;Antopol (OP.);154726
219;Antopol (OP.);132816
220;Anthracite;502104
221;Antsla;85600
222;Anuzhai (OP.);108747
223;Anusino (OP);143524
224;Apgulde (OP.);92841
225;Apollonovka (b.Apalonovka) (OP.);156825
226;Apostolovo;466603
227;Apseni (OP.);113340
228;Apshupe (OP.);97627
229;Arabkir;567908
230;Aragats;566604
231;Aradu (OP);573345
232;Araisi;111218
233;Araks;566905
234;Aral-Kum;670352
235;Aral Sea;670309
236;aranci;721605
237;Ararat;569509
238;Arashenda (OP.);561511
239;Arganates;702638
240;Argveta;575904
241;Ardava (OP.);113410
242;Arevik;568205
243;Areg (resp.);569020
244;Arch;682400
245;Arkach;753930
246;Arlamovskaya Volya (OP.);374223
247;Armavir;567005
248;Armazi (OP.);560420
249;Armatniuv (OP.);359011
250;Fragrant;454606
251;Arsaul (resp.);574051
252;Artanish (OP);569015
253;Artashat;569301
254;Artemovka (OP.);441112
255;Artemovsk I;496505
256;Artemovsk II;494603
257;Arteni (resp.);566619
258;Artik;566106
259;Artyk;752209
260;Artyk (exp.);752302
261;Arukula;82320
262;Arkharly (OP.);700825
263;Artsyz;403905
264;Archman;753502
265;Archut (rzd.);565315
266;Arshaluys;567109
267;Arykbashi;740409
268;Arystansor;683206
269;Arys I;698004
270;Arys II (OP.);698019
271;Asanovsky (OP.);163528
272;Asari (OP);97237
273;Ashino (OP);144438
274;Askeran;557304
275;Aslanovo;485002
276;Aspara;704534
277;Assa;706709
278;Assake;743407
279;Astazur;551125
280;Astana;690002
281;Astara;554109
282;Astara (exp.);554503
283;Ata;756708
284;Atamyrat (exp.);759802
285;Atamyrat;759706
286;Atasu;676221
287;Atashiene;113919
288;Atbulak;548907
289;Atgazene (OP.);91014
290;Atygai;695108
291;Atyrau;661705
292;Auvere;83713
293;Aul;711209
294;auls;135301
295;Auri (OP);92835
296;Auseklis (OP.);90717
297;Auce (OP.);99514
298;Afanasyevo (resp.);662252
299;Akhaldaba (OP.);577505
300;Akhalkalaki;563305
301;Akhalkalaki-Passenger (OP.);563216
302;Akhaltsikhe;578404
303;Akhaltsikhe (exp.);578103
304;Akhaltsikhe-Passenger (OP.);578423
305;Akhangaran;723009
306;Akhasheni (OP.);561920
307;Haghpat (resp.);564825
308;Akhtala;564806
309;Akhtamar (OP.);568924
310;Akhtyrka;446205
311;Akhunbabaeva;743209
312;Akhuryan;565902
313;Akhuryan (exp.);566002
314;Atskuri;578300
315;Acone (OP);90079
316;Achadara (OP);573913
317;Achigvari (resp.);573203
318;Ashgabat;752800
319;Ashgabat-Navalochny;752904
320;Ashendha (OP.);579233
321;Ashurkovo (OP.);491732
322;Ashchi-Gol;688303
323;Ashchisu;674902
324;Ashchyozek;677915
325;Aegviidu;82602
326;Airport (OP.);560186
327;Airport (OP.);547533
328;Ayagoz (b Ayaguz);708704
329;Ajapbergen;737069
330;Babadurmaz;752213
331;Babakovka (OP.);329247
332;Babarikovskaya (OP.);443714
333;Babatai;690303
334;Babayarov (OP.);724317
335;Babenkovo (OP.);447335
336;Babino (OP.);147718
337;Babite (OP.);96747
338;Babichevsky (OP.);348125
339;Babychi;154425
340;Bagat;738502
341;Baglai (OP.);330297
342;Baglar;547567
343;bagley;456007
344;Bagnasheni (OP.);574225
345;Bagravan (resp.);566411
346;Bagrinovka (OP.);368612
347;Badam;698409
348;Badiauri (OP.);561403
349;Badovka (OP.);341111
350;Base (rzd.);354516
351;Base (OP.);428353
352;Bazaleti (OP.);576729
353;Bazyrovo (rzd.);666732
354;Baygakum;672108
355;Baydakovka (OP.);410420
356;Bayorai (OP.);107814
357;Bayrak;500607
358;Bayramali;750909
359;Bayserke;700401
360;Baisogala;125032
361;Baiterek (rzd.);661175
362;Bai-Khozha;670808
363;Baisheshek (rzd.);703010
364;Buckeye;668827
365;Backing;446027
366;Bakikhanov;547069
367;Baklanovo (OP.);325034
368;Baksay;661832
369;Bactria;735307
370;Baktysay (rzd.);672019
371;Baku-Passenger;547112
372;Bakuriani;577736
373;Bakurtsikhe (OP.);561846
374;Baku-Commodity;547105
375;Baku-Tovarnaya (terminal);547603
376;Baku-Commodity-Ferry;549204
377;Baku-Trading Pier;547302
378;Baku-TradingPier (transl.);547209
379;Baku-TradingPier;547302
380;Baku-TradingPier (exp.);547406
381;Baksheevka (OP.);433328
382;Bakelektroavtomat (OP.);547711
383;Bala-Begmanly (resp.);551863
384;Balabek (OP.);551844
385;Balabino (OP.);460715
386;Balajars;546808
387;Balakleya;443902
388;Balakleya I (OP.);422728
389;Balakleya II (OP.);422713
390;Balakty-Kol;708940
391;Balgaly;701122
392;Bale;111010
393;Balin;333204
394;Balkanabat;754007
395;beams;442308
396;Balkunay (OP.);123639
397;Balla Ishem;753964
398;Balovka;455702
399;Balovnoe;419509
400;Balozhi;91103
401;Balta;406903
402;Baltamishkis (OP.);120950
403;Baltezers (OP.);95513
404;Balkhana;750434
405;Balkhash I;677506
406;Balkhash II;677510
407;Balintsi (OP.);388832
408;bam;753606
409;bandurka;412209
410;Banilov (OP.);389426
411;Banichi;328507
412;Bantyshevo;492400
413;Bar;332606
414;drumbeat;401929
415;Baravukha;162116
416;Baranovichi-Polessky;138901
417;Baranovichi-Northern;138437
418;Baranovichi-Central;138507
419;Baranovo (OP.);449311
420;Lamb (OP.);341221
421;Baratashvili (OP.);573843
422;Barbarov;151408
423;Barbeshty (rzd.);389445
424;Barvenkovo;492608
425;Barvinovka (OP.);348036
426;Periwinkle (OP.);414736
427;bargushety;554804
428;Barda;555309
429;Barjiskhevi;561831
430;Barkalabovo (OP.);156127
431;Barkasovo;383006
432;Barmak (rezd.);685339
433;Barmysh (OP.);574136
434;Baronskaya (OP.);506618
435;Barrage;721802
436;Barsa-Kelmes;744607
437;Badgers;156134
438;Badgers (OP.);141336
439;Bartaz (red.);551308
440;Barkhudarly (exp.);557709
441;Barkhudarly;557501
442;Baryshevka;322708
443;Basagash (OP);685324
444;Basarabeasca;399004
445;Basarabeasca (exp.);392402
446;Baskaki (OP.);348426
447;Basov Kut (OP.);356668
448;Bastuns;137805
449;bass;445607
450;Batakiai;106603
451;Batali (OP);160341
452;Bataly;682608
453;Batevo (exp.);382605
454;Batevo;382501
455;Batmanka (OP.);482786
456;Battery (OP.);382540
457;Batumi (exp.);571405
458;Batumi;571509
459;Batumi (ferry;Georgian
460;Batumi (ferry;Georgian
461;Batumi (ferry;Georgian
462;Batumi-ferry-Kerch;578006
463;Baturinskaya;466904
464;Butcha (OP.);131283
465;Batyatyche (OP.);370913
466;Baumanskaya;686308
467;Baharden;753409
468;Bakhmach-Gomel;326107
469;Bakhmach-Kyiv;325903
470;Bakhmach-Passenger;326003
471;Bakhmut (OP.);391801
472;Bakhmutovka (OP.);507818
473;Bakht;724800
474;Bakhtiozino (OP.);669389
475;Bakhsha (resp.);701334
476;Bashbashi;550700
477;Bashkalia (OP.);397329
478;Bashtanka (OP.);414810
479;Accordion;556316
480;Bayandur;567503
481;Bayaut;725108
482;Beglevi;576076
483;Begmanly;551878
484;Bedevlya (OP.);385514
485;Bedeni (OP);563080
486;Bejari;552226
487;Bezverhovichi (OP.);148655
488;Bezdrik (OP.);433845
489;Sleeveless (OP.);432236
490;Handless (OP.);447551
491;Beyneu;662801
492;Bekabad;726100
493;Bekabad (exp.);726204
494;Bekbeke (resp.);664205
495;Belany (OP.);447015
496;White (OP.);360714
497;Belaya Krinitsa;416500
498;White church;343808
499;Belaya-Chertkovskaya;364804
500;Belgorod-Dnestrovsky (exp.);403303
501;Belgorod-Dnestrovsky;403206
502;Belgorodka;340509
503;Belek-Turkmen;754242
504;Beletskovka (OP.);425340
505;Belz;373004
506;Belin (OP.);386324
507;Belin-Volynsky (OP.);354022
508;belichi;322303
509;Proteins (OP.);321122
510;Belkul;671800
511;Belobozhnitsa;364607
512;Belovodskaya;716109
513;Belovody;426409
514;Belogradovka;685907
515;Belogruda (OP.);137542
516;Belozerye;424102
517;Belokany;559704
518;Belokorovichi;349202
519;Belokurakino;509207
520;Beloozersk;133804
521;Belopolye;444708
522;Beloselie (OP.);342746
523;Beloselsky (OP.);163316
524;Belous (OP.);324830
525;White Well;433402
526;Belynkovichi;159005
527;Belle;703202
528;Belle (OP.);158233
529;Bel-Agach;711505
530;Belmanka;462301
531;Belyaevka;443207
532;Belyansky (OP.);505935
533;Bender I;390001
534;Bender II;390601
535;bene;99406
536;Benislavsky (OP.);161823
537;Benkovo (OP);375245
538;Benyacone;137909
539;Benyacone (exp.);136605
540;Byrd;478009
541;Berdakh;737020
542;Berdichev;342400
543;Berdichev-Zhytomyr;345319
544;Berdyansk;478102
545;Berdyansk (exp.);478300
546;Take care (narrow);384160
547;Coastal (OP.);423330
548;Coastal;400502
549;Beregovaya (to Port Yuzhny) (exp.);400606
550;Berehove;384102
551;Beregovo-Maloe (narrow);384121
552;Beregomet;369403
553;Berezha (OP.);144527
554;Berezhanka (OP.);360324
555;Berezhany;362300
556;Preservation (exp.);348303
557;thrift;347705
558;Berezhok (OP.);141618
559;Birch City (OP.);134116
560;birch kartuzskaya;133700
561;Berezanovka (OP.);452051
562;Berezan;322801
563;Berezina (OP.);141410
564;Berezina;147703
565;Berezino;405008
566;Berezinsky (OP.);162633
567;Birch (OP.);328155
568;birches;150212
569;birchish;416407
570;Bereznik (OP.);433116
571;Bereznyaki (OP.);420031
572;Bereznyatskaya (OP.);420046
573;Birch Grove (OP.);130825
574;Berezovitsa-Ostrov;362601
575;Berezovka;401609
576;Berezovtsy (OP.);162313
577;Bereka (OP.);443315
578;Bereke (rzd.);702515
579;Bereket;753907
580;Birch bark (OP.);431661
581;Berestovenky;441709
582;Berestovitsa;136200
583;Beresht (OP.);392017
584;Berzupe (OP);93013
585;Berkazan;671823
586;Berlebash (exp.);386108
587;Berlebash;386201
588;Berlik I;704703
589;Berlik II (OP.);704718
590;Beruni;734605
591;Bershad (narrow);408631
592;Besedovshchina (OP.);428324
593;beskit;383745
594;Beskol;708206
595;Beslakhuba (OP.);573311
596;Bespalovka;443404
597;Bestamak;668102
598;Bestobe (rzd.);739666
599;behi;346505
600;Besh-Aryk;672700
601;Beshgioz (OP.);398815
602;Beshketovo;411935
603;Boyuk-Kyasik (exp.);558701
604;Boyuk-Kyasik;558631
605;Boyuk-Shor;547046
606;swell;574206
607;Bibkovshchina (OP.);146823
608;Bigailai (OP.);127413
609;Bigosovo;161700
610;Bigosovo (exp.);161401
611;Bigosovo-junction;161698
612;Bizhe;701404
613;Bikbauli;670437
614;Bixti;93039
615;Bilka (OP.);360339
616;Billy (narrow);384545
617;Bilgah;546545
618;Bilmachevka (rzd.);429233
619;Bilche;377448
620;Bina;547707
621;Binagady (OP.);546831
622;Binocor (sold);731202
623;Birze (OP.);92137
624;Birze Shaur (OP.);111519
625;Tags (OP.);423114
626;Birock (OP.);358521
627;Birshogyr;669603
628;Biryuki (OP.);343920
629;Biryulichi (OP.);135349
630;Biscovichi (OP.);374967
631;Bishkek I;716607
632;Bishkek II;716700
633;Blaburhwa (OP.);574140
634;Blagovichi (OP);157921
635;Blessing;458331
636;Blazhevshchina (OP.);168339
637;Blakitnoe;416604
638;Blidene (OP.);93128
639;Twins;493704
640;Checkpoint 10 km;482220
641;Checkpoint 1164 km;486433
642;Checkpoint 1479 km;370010
643;Checkpoint 14Z7 km;405718
644;Checkpoint 1504 km;400248
645;Checkpoint 154 km;377471
646;Checkpoint 16 km;502655
647;Checkpoint 160 km;502744
648;Checkpoint 191 km;110747
649;Checkpoint 1Z4 km;430118
650;Checkpoint 252 km;425047
651;Checkpoint 26Z km;381068
652;Checkpoint 401 km;110639
653;Checkpoint 524 km;113637
654;Checkpoint 6 km;491056
655;Checkpoint 61 km (exp.);394405
656;Checkpoint 61km;394903
657;Checkpoint 67 km;384761
658;Checkpoint 7 km;687940
659;Checkpoint 89 km;80842
660;Checkpoint 98 km;445664
661;Checkpoint 30 km;400574
662;Checkpoint Z795 km;728411
663;Checkpoint Z87 km;114517
664;Checkpoint Z8Z km;114451
665;Checkpoint Ring;500147
666;Checkpoint Petrunka;490956
667;Blotnitsa;425800
668;Bluzha (OP.);145426
669;Whores (OP);341728
670;Bobokvati (OP.);571212
671;beaver;323401
672;Bobrynets;414204
673;Bobrich (OP.);153526
674;Bobrovitsy;323607
675;Bobrovniki;164200
676;Bobruisk;147008
677;Beavers (OP.);137256
678;Beavers (OP.);131298
679;Bovshev (OP.);388122
680;Bogarnoe;727404
681;Bogachevo;421602
682;Bogdanesti (OP.);392024
683;Bogdanka (OP.);328225
684;Bogdanov;162506
685;Bogdanovka (OP.);323024
686;Bogdanovka (OP.);328232
687;Bogdanovka (OP.);423260
688;Bogdanovka-Kamenka (OP.);361238
689;Bogdanovtsy;330808
690;Boglanov-junction;162440
691;Bogodukhov;446506
692;Bogunovo (OP.);423311
693;Bogunsky;348229
694;Boguslav;344509
695;Boguslavets (OP.);424314
696;Boguslavsky;455100
697;Bogutichi (OP.);151234
698;Bogushevka (OP.);135227
699;Bogushevskaya;167001
700;Bodaqua (resp.);426818
701;Bodnarov;387721
702;Bozhedarovka;458607
703;Bozhkov;448802
704;Bozaral (rzd.);687832
705;Bozsu;721408
706;Bozshakol;694408
707;Boikovshchina (OP.);424738
708;slaughterhouse;757202
709;Boysun;729202
710;Bokter (rzd.);700717
711;Bokuny (OP.);135250
712;Bolgrad;402404
713;Bolgrad (Grecheny) (exp.);408608
714;Bolgrad (narzd 208 km) (exp.);403604
715;Bolderaya (exp.);97400
716;Bolderaya;97006
717;Boldyr;739401
718;Boldyr (exp.);734709
719;Boleslavchik;412406
720;Bolekhiv;387308
721;Bolekhivtsi (OP.);376318
722;Bolnisi (OP.);564308
723;Hospital (OP);155856
724;Velyka Kahnovka;425209
725;Bolshaya Yablonovka (OP.);420027
726;Bolshie Kopani;418811
727;Big Bubbles;334211
728;Big Tokmak;477307
729;Big Utlyug (OP.);475814
730;Bondarevka;326412
731;Bondarevsky (OP.);348515
732;Bonnie (OP);159043
733;Borzhava;384206
734;Borjomi (exp.);577596
735;Borjomi;577609
736;Borjomi-Park (OP.);577613
737;Greyhound (OP.);354412
738;Borislav;376407
739;Borisovka;505704
740;Boryspil;322604
741;Borki;443457
742;Borki (OP.);134224
743;Borki-Great;360907
744;Borkovichi;161908
745;Borovaya (OP.);132534
746;Borovka (OP.);157739
747;Borovoe;165103
748;Borovskaya-Yuzhnaya (OP.);444381
749;Borovtsy;137129
750;Borodchitsy (OP.);378417
751;Borodyanka;321809
752;Boroinak (rzd.);672521
753;Borok (OP);150636
754;Boromlya;445804
755;Borrechie (OP.);153776
756;Bortniki (OP.);379119
757;Borugchi;749403
758;Borusov (OP);378934
759;Wrestlers (OP.);482752
760;Borschagovka Borschagovka-technical;322445
761;Borshchev;364109
762;Borshchevka (OP.);406848
763;Borscht;407802
764;Borshchov (OP.);389125
765;Borschovichi;379301
766;Borynich;379000
767;Bosaga;677224
768;Boslevi (OP.);576061
769;Bostan;737035
770;Bostandyk (rzd.);670579
771;Bostanlyk (OP.);721817
772;Bostyn (OP.);139478
773;Botai (OP.);686613
774;Botacara;674705
775;Botany (OP.);721319
776;Botanicuri Bagi (OP.);571316
777;Boyany;367003
778;Boyarka;321230
779;Boyars (OP.);142324
780;Braginovka;455308
781;Brailov;335500
782;Brakschi (OP.);97612
783;Branes (OP);357340
784;Brasa (OP);90416
785;Brothers;448111
786;Brothers (OP);508435
787;Bratkovtsy;387100
788;brotherlyubovka;417005
789;Brotherly (OP.);461629
790;Brotherly Lake (OP.);443828
791;Brownovka;502405
792;brenguli;110910
793;Brest-Vostochny;130204
794;Brest-Polessky;130308
795;Brest-Northern;130100
796;Brest-North (exp.);130505
797;Brest-Central;130007
798;Brest-Central (exp.);130609
799;Brest-Yuzhny;130837
800;Brigadier (OP.);328174
801;Brigadier (OP.);430014
802;Brigi (OP);112935
803;Briezhi (OP.);91885
804;Brilevka;418900
805;Brinevo;153314
806;Britsalovichi (OP.);146429
807;Brovary;323306
808;eyebrows;342909
809;Brodish (OP);146452
810;Brody (exp.);351700
811;Brody;350905
812;fermentation;147506
813;Bronislav (OP);152129
814;Bronnaya Mountain;134008
815;Bronka (narrow);384621
816;Brochvichi (OP.);408311
817;Brocenes;93202
818;Broceula;575209
819;Broshnev (OP.);387613
820;Bruzgi (exp.);134807
821;bruzgi;135104
822;Brusin;490320
823;Brynza (OP.);397653
824;Bratusheni;394000
825;Bryulovetsky;327913
826;Bryukhovichi;372105
827;Bubnov (OP.);353123
828;Buwayda;740502
829;Bug (PP.);334071
830;Bugaz;403619
831;Bugun;706501
832;Bugyanai;126302
833;Bugyaniai (exp.);126209
834;Buda-Koshelevskaya;155201
835;Budvechiai (OP.);124010
836;Budoten (OP.);150551
837;Budslav;163802
838;Buda;449701
839;Budy (OP.);139618
840;Budki (former Shchuchentsy) (OP.);330066
841;Buzaubay;739834
842;Buzahur;728820
843;Buzovka;452507
844;Buivolovetsky (OP.);333721
845;Buynichi;156401
846;Buyrek (rzd.);676024
847;Buyrektobe (OP.);669849
848;Bukachevtsy;388004
849;Bukino;443635
850;Buklevskoe (OP.);446737
851;Buknari (OP);571231
852;Bukovets;391604
853;Bulavin;500406
854;Bulboaca;390705
855;Bulduri (OP.);97129
856;Bulungur;727508
857;Bumazhkovo (OP.);147328
858;Bumbeta (OP);391820
859;Bunker;504400
860;Bunchuzhny (PP.);498835
861;Burbin;168606
862;Burbulatovskaya (OP.);493615
863;Burgutli;739810
864;Burdyug (rzd.);367611
865;Burebay;671815
866;Burebof (former Garavuti) (exp.);747107
867;Burebof (former Garavuti);747200
868;Burzava;112704
869;Burkitty (former Taldinka);675002
870;Burli-Kazakh (OP.);692722
871;Burluk;433205
872;Burlutsky (OP.);430527
873;Burma (BP.);675731
874;Stormy;705903
875;Bursak;709143
876;Burtesken (rzd.);672413
877;Burty;425355
878;Burubaital;705265
879;Burul;707006
880;Burundai;703908
881;Burchatsk;461737
882;Burshtyn;388103
883;Busls (OP.);155240
884;Busovisco (OP.);375527
885;Bukhara I;730002
886;Bukhara II;730106
887;Buchlichi (OP.);139228
888;Bukhtarma;714207
889;Bukhtarma (trans.);714404
890;Butsenovka (OP.);405544
891;Butsnev (OP.);362531
892;Bucha;322106
893;Buchach;364400
894;Buchumen;392058
895;Bushevka (OP.);155216
896;Bushevo (OP.);344113
897;Bushinka (OP.);331618
898;Bushtino;385406
899;Buyalyk;405900
900;Buyan;321705
901;Fast (OP);345517
902;Bystrica (OP.);388419
903;Bystrovka;717402
904;Byten (OP.);134313
905;Bykhov;156100
906;Bychiha;166210
907;Baltiac (OP.);399409
908;Balti-Orash;393205
909;Balti-Slobozia;393309
910;Beyush (OP.);397210
911;Bulbuli (OP.);547764
912;Beabrulishka (OP.);124038
913;Byavandyanishkes (OP.);120927
914;Byazdonis;128204
915;Biarchyunay (OP.);127216
916;Vaabina (OP.);85545
917;Wabole;114428
918;Vavilino;665053
919;Carriage plant (OP.);425317
920;WagonuParks (OP.);95029
921;Vagula (OP.);85511
922;Vadakste (OP.);99529
923;Vadim;419104
924;Vadul-Lui-Isak (OP.);396742
925;Vadul Siret;368608
926;Vadul Siret (DB) (exp.);368805
927;Vadul Siret (ChF) (exp.);368701
928;Vasalemma;80700
929;Vaziani (exp.);561136
930;Vaziani;561102
931;Vazisubani (OP.);562213
932;Vaivara (exp.);83501
933;Vaivara;83605
934;Vaivari (OP);97241
935;Vaidotai;121008
936;Vainava (OP.);113317
937;Vayneda;99302
938;Vaynede (exp.);99209
939;Vaculenians;448605
940;Vakulenchuk (OP.);342114
941;Valga (exp.);86302
942;Valga;86209
943;Valgemetsa (OP.);84951
944;Valais (exp.);578207
945;Valais;578508
946;Walen (OP.);397649
947;Valingu (BP.);80823
948;Valmiera;111006
949;Valuyskaya (OP.);507377
950;Valul-Roman (resp.);398514
951;Valkininkai;122301
952;Valciunai;120607
953;Valianovka (OP.);491624
954;Valyanovsky;501309
955;Valyava (OP.);422342
956;Vanadzor;565300
957;Vana-Kuuste (OP.);84913
958;Vangazhi;95301
959;Vanilevichi (OP.);139143
960;Vanchikovtsy;367126
961;Vankovichi;375620
962;Vapnyarka;408504
963;Vapram?e (OP.);85723
964;Varaklyany;113815
965;Varvarovka;454706
966;Varvarovsky (srzd.);429322
967;Vardakar (OP.);566138
968;Vardgineti (OP.);577524
969;Vardenis;569104
970;Varena;121608
971;Variani (OP);579248
972;Variku (OP.);85776
973;Varlaukis;106506
974;Warser (OP.);568811
975;Vasilevichi;154406
976;Vasilkov (OP.);421664
977;Vasilkov I;321207
978;Vasilkov II;321300
979;Vasylkivka (rzd.);686933
980;Vasilkovka (OP.);454042
981;Vasilkovtsy (OP.);363322
982;Vasishchevo (rzd.);440711
983;Vasishchevo (OP.);444341
984;Vascouci;367802
985;Vastse Kuuste;84947
986;Vasula (OP);84612
987;Vaskovichi (OP.);346514
988;Vaskovshchizna (OP.);168752
989;Vasyutintsy (OP.);331139
990;mobs;552103
991;Vatutino (OP.);340026
992;Vahdat (former Yangi Bazaar);745008
993;Vakhsh;746301
994;Vashkovtsy;389407
995;Vaek?la;82918
996;Vivis;122706
997;Vejini (OP);561865
998;Vedrich (OP);154410
999;Vezhukrogs (OP.);91870
1000;Veini (OP);111580
1001;Vekshniai;126425
1002;Veledniki;349607
1003;Velensky (OP.);145411
1004;Veli (exp.);562923
1005;Veli;562904
1006;Velidag (resp.);550574
1007;Velika Kopanya (OP.);384723
1008;Great Bakta (OP.);384117
1009;Great Began (OP.);384013
1010;Great Annunciation (OP.);417043
1011;Velikaya Zagorovka (OP.);325814
1012;Great Sloboda (OP.);332945
1013;Great Yunachki (OP.);334245
1014;Great Berezny;381806
1015;Great Bychkov;385800
1016;Great Kuchurov;368307
1017;Great Forest (OP);349330
1018;Great Meadow (OP.);348159
1019;Veliko Anadol;486306
1020;Velichko;494904
1021;Vengerivka;497813
1022;Hungryvka (OP.);357410
1023;Vendezh (OP.);145337
1024;Vendichany;332201
1025;Vendridge;157423
